batch_name,query_id,template_id,template_label,fact_table,fact_rows,rows_in,bytes_est,n_joins,has_groupby,selectivity,has_orderby,has_window,limit_rows,reps,median_seconds,min_seconds,max_seconds,calibration_seconds,machine_factor,normalized_seconds,cpu_count,duckdb_threads,measured_at
batch_01,t36_s1,t36,2M rows · 3 joins · no group by · window · order by · no limit,fact_event_s,2000000,2055200,146164800,3,0,0.02,1,1,0,12,0.051226,0.050751,0.052787,0.249105,1.0,0.051226,4,4,2026-08-22T00:18:47+00:00
batch_01,t23_s4,t23,5M rows · 1 join · no group by · order by · limit 1000,fact_event_l,5000000,5050000,362000000,1,0,0.9,1,0,1000,5,0.169051,0.167842,0.170145,0.249959,1.003428,0.168473,4,4,2026-08-22T00:18:47+00:00
batch_01,t24_s4,t24,5M rows · 3 joins · group by · window · order by · no limit,fact_event_l,5000000,5055200,362164800,3,1,0.9,1,1,0,5,2.356219,2.287361,2.403697,0.250813,1.006857,2.340172,4,4,2026-08-22T00:18:47+00:00
batch_01,t54_s1,t54,8M rows · 0 joins · no group by · no limit,fact_event_x,8000000,8000000,576000000,0,0,0.02,0,0,0,5,0.172447,0.17191,0.187351,0.251667,1.010285,0.170691,4,4,2026-08-22T00:18:47+00:00
batch_01,t39_s3,t39,2M rows · 3 joins · group by · window · no limit,fact_event_s,2000000,2055200,146164800,3,1,0.45,0,1,0,5,0.390252,0.384801,0.39719,0.252521,1.013713,0.384973,4,4,2026-08-22T00:18:47+00:00
batch_01,t29_s3,t29,5M rows · 0 joins · group by · order by · limit 1000,fact_event_l,5000000,5000000,360000000,0,1,0.45,1,0,1000,5,0.346418,0.343164,0.347949,0.253375,1.017141,0.34058,4,4,2026-08-22T00:18:47+00:00
batch_01,t50_s2,t50,2M rows · 3 joins · no group by · limit 1000,fact_event_s,2000000,2055200,146164800,3,0,0.15,0,0,1000,11,0.055256,0.054809,0.058715,0.254229,1.02057,0.054142,4,4,2026-08-22T00:18:47+00:00
batch_01,t34_s4,t34,2M rows · 0 joins · no group by · window · limit 100,fact_event_s,2000000,2000000,144000000,0,0,0.9,0,1,100,5,0.20059,0.199066,0.205033,0.255083,1.023998,0.195889,4,4,2026-08-22T00:18:47+00:00
batch_01,t33_s3,t33,2M rows · 1 join · group by · no limit,fact_event_s,2000000,2050000,146000000,1,1,0.45,0,0,0,5,0.173374,0.171258,0.174775,0.255937,1.027426,0.168746,4,4,2026-08-22T00:18:47+00:00
batch_01,t28_s1,t28,2M rows · 3 joins · group by · limit 100,fact_event_s,2000000,2055200,146164800,3,1,0.02,0,0,100,11,0.056577,0.055476,0.058222,0.256791,1.030854,0.054884,4,4,2026-08-22T00:18:47+00:00
