template_id,template_label,queries,p50_actual_ms,p50_predicted_ms,worst_actual_ms,worst_predicted_ms,mean_abs_pct_error,sla_verdict,sla_ms
t24,5M rows · 3 joins · group by · window · order by · no limit,1,2132.451,911.142,2132.451,911.142,57.273,breach_called,200.0
t19,8M rows · 3 joins · group by · window · order by · limit 100,2,1161.506,642.144,1169.638,712.903,44.755,breach_called,200.0
t16,8M rows · 3 joins · group by · order by · limit 100,3,636.107,820.421,943.463,1090.543,31.859,breach_called,200.0
t32,8M rows · 0 joins · group by · order by · limit 1000,3,188.814,213.943,873.968,662.467,22.93,breach_called,200.0
t48,2M rows · 3 joins · group by · window · order by · no limit,4,395.825,210.324,763.937,600.819,31.493,breach_called,200.0
t47,8M rows · 1 join · no group by · window · order by · limit 1000,4,176.611,175.362,676.453,318.607,24.675,breach_called,200.0
t60,3M rows · 2 joins · group by · window · order by · no limit,2,351.784,268.292,647.194,484.447,16.332,breach_called,200.0
t21,2M rows · 3 joins · group by · order by · no limit,2,340.842,344.029,612.698,648.976,24.634,breach_called,200.0
t30,5M rows · 1 join · group by · window · no limit,3,568.213,529.457,591.012,747.966,22.255,breach_called,200.0
t53,5M rows · 1 join · group by · limit 1000,3,125.736,212.551,572.776,457.193,38.621,breach_called,200.0
t39,2M rows · 3 joins · group by · window · no limit,2,293.912,204.392,547.177,352.158,37.477,breach_called,200.0
t59,3M rows · 1 join · group by · window · order by · limit 1000,2,331.077,310.914,546.206,436.677,39.868,breach_called,200.0
t15,8M rows · 0 joins · group by · no limit,3,515.717,498.446,540.886,667.056,14.124,breach_called,200.0
t46,8M rows · 1 join · group by · window · order by · limit 100,2,288.056,286.266,515.089,474.251,34.492,breach_called,200.0
t08,5M rows · 0 joins · no group by · window · limit 1000,1,483.979,412.551,483.979,412.551,14.759,breach_called,200.0
t03,8M rows · 2 joins · no group by · window · no limit,2,446.89,289.142,474.442,324.38,34.565,breach_called,200.0
t13,5M rows · 2 joins · group by · window · order by · limit 100,1,467.198,409.776,467.198,409.776,12.291,breach_called,200.0
t35,5M rows · 0 joins · no group by · window · order by · limit 1000,4,110.516,103.569,412.773,202.696,16.347,breach_called,200.0
t55,5M rows · 2 joins · group by · window · limit 100,3,309.787,270.31,409.688,409.183,5.502,breach_called,200.0
t18,2M rows · 2 joins · group by · no limit,3,276.152,130.45,288.57,261.341,21.366,breach_called,200.0
t40,3M rows · 3 joins · group by · window · limit 100,1,285.213,386.291,285.213,386.291,35.44,breach_called,200.0
t11,3M rows · 0 joins · group by · limit 1000,2,167.727,190.419,279.174,342.088,26.843,breach_called,200.0
t42,3M rows · 0 joins · group by · window · order by · no limit,4,145.9,169.49,257.474,422.517,24.128,breach_called,200.0
t45,2M rows · 1 join · group by · window · order by · no limit,2,135.44,162.784,238.189,290.711,14.337,breach_called,200.0
t56,8M rows · 2 joins · no group by · limit 1000,3,100.201,107.634,223.086,206.728,8.921,breach_called,200.0
t44,5M rows · 3 joins · group by · window · limit 1000,1,215.44,333.267,215.44,333.267,54.691,breach_called,200.0
t54,8M rows · 0 joins · no group by · no limit,3,97.907,94.803,191.865,225.269,23.297,false_alarm,200.0
t07,2M rows · 2 joins · group by · window · limit 100,2,100.295,153.311,180.402,285.921,30.517,false_alarm,200.0
t49,3M rows · 0 joins · group by · window · limit 100,3,129.916,94.874,172.207,187.794,22.132,inside_sla,200.0
t14,5M rows · 2 joins · no group by · limit 1000,4,91.139,103.718,152.191,166.398,15.028,inside_sla,200.0
t23,5M rows · 1 join · no group by · order by · limit 1000,3,124.204,125.896,146.282,251.019,53.539,false_alarm,200.0
t33,2M rows · 1 join · group by · no limit,1,139.956,204.314,139.956,204.314,45.984,false_alarm,200.0
t36,2M rows · 3 joins · no group by · window · order by · no limit,2,77.062,88.843,124.759,145.843,12.665,inside_sla,200.0
t27,8M rows · 0 joins · group by · window · order by · no limit,2,116.135,109.696,120.942,129.817,21.273,inside_sla,200.0
t37,5M rows · 0 joins · no group by · limit 100,4,53.484,45.273,118.626,98.735,14.613,inside_sla,200.0
t06,2M rows · 1 join · no group by · window · order by · no limit,2,108.508,90.671,115.12,103.722,16.863,inside_sla,200.0
t51,2M rows · 0 joins · group by · no limit,3,28.19,35.327,112.155,145.293,23.36,inside_sla,200.0
t29,5M rows · 0 joins · group by · order by · limit 1000,2,104.159,131.964,108.701,138.975,26.643,inside_sla,200.0
t05,3M rows · 3 joins · no group by · order by · limit 1000,1,87.306,129.432,87.306,129.432,48.25,inside_sla,200.0
t41,3M rows · 1 join · no group by · limit 1000,2,57.835,83.429,78.442,133.37,40.036,inside_sla,200.0
t38,3M rows · 2 joins · no group by · limit 1000,1,73.925,70.551,73.925,70.551,4.564,inside_sla,200.0
t43,8M rows · 1 join · no group by · order by · limit 100,1,72.177,120.144,72.177,120.144,66.457,inside_sla,200.0
t31,2M rows · 1 join · no group by · window · limit 100,3,69.162,65.864,70.116,79.844,9.464,inside_sla,200.0
t52,2M rows · 2 joins · no group by · window · limit 100,2,42.601,49.522,69.489,78.949,20.752,inside_sla,200.0
t25,8M rows · 1 join · no group by · limit 100,2,60.553,60.606,68.043,69.797,2.84,inside_sla,200.0
t22,5M rows · 2 joins · no group by · order by · limit 100,2,59.143,63.386,67.006,73.962,6.683,inside_sla,200.0
t34,2M rows · 0 joins · no group by · window · limit 100,3,60.159,53.485,61.948,65.482,8.911,inside_sla,200.0
t50,2M rows · 3 joins · no group by · limit 1000,2,37.424,39.609,48.671,46.423,14.951,inside_sla,200.0
t58,5M rows · 0 joins · group by · window · limit 100,1,37.517,34.786,37.517,34.786,7.28,inside_sla,200.0
t12,2M rows · 0 joins · no group by · no limit,2,25.352,41.102,27.305,58.367,57.816,inside_sla,200.0
t20,2M rows · 2 joins · no group by · limit 1000,2,21.24,28.682,23.691,31.27,38.288,inside_sla,200.0
t04,3M rows · 2 joins · no group by · window · order by · limit 100,1,23.688,19.405,23.688,19.405,18.079,inside_sla,200.0
t28,2M rows · 3 joins · group by · limit 100,1,17.608,36.628,17.608,36.628,108.022,inside_sla,200.0
